USA,Database,Name,Accession,Type,Length,X.GC,Organism,id
fasta::trinity_out.Trinity.fasta:TRINITY_DN51885_c0_g1_i1,-,TRINITY_DN51885_c0_g1_i1,-,N,231,23.38,NA,TRINITY_DN51885_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN52405_c0_g2_i1,-,TRINITY_DN52405_c0_g2_i1,-,N,201,22.89,NA,TRINITY_DN52405_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN52465_c0_g1_i1,-,TRINITY_DN52465_c0_g1_i1,-,N,285,21.4,NA,TRINITY_DN52465_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN53561_c0_g1_i1,-,TRINITY_DN53561_c0_g1_i1,-,N,214,22.9,NA,TRINITY_DN53561_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN53638_c0_g1_i1,-,TRINITY_DN53638_c0_g1_i1,-,N,336,20.83,NA,TRINITY_DN53638_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN53798_c0_g1_i1,-,TRINITY_DN53798_c0_g1_i1,-,N,225,24,NA,TRINITY_DN53798_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN54035_c0_g1_i1,-,TRINITY_DN54035_c0_g1_i1,-,N,299,21.74,NA,TRINITY_DN54035_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN54208_c0_g1_i1,-,TRINITY_DN54208_c0_g1_i1,-,N,238,23.53,NA,TRINITY_DN54208_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN54460_c0_g1_i1,-,TRINITY_DN54460_c0_g1_i1,-,N,228,22.37,NA,TRINITY_DN54460_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN54568_c0_g1_i1,-,TRINITY_DN54568_c0_g1_i1,-,N,294,23.47,NA,TRINITY_DN54568_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN55385_c0_g3_i1,-,TRINITY_DN55385_c0_g3_i1,-,N,205,22.93,NA,TRINITY_DN55385_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN56090_c0_g1_i1,-,TRINITY_DN56090_c0_g1_i1,-,N,335,18.51,NA,TRINITY_DN56090_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN56723_c0_g1_i1,-,TRINITY_DN56723_c0_g1_i1,-,N,213,23,NA,TRINITY_DN56723_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN57296_c0_g1_i1,-,TRINITY_DN57296_c0_g1_i1,-,N,276,23.19,NA,TRINITY_DN57296_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN57889_c1_g1_i1,-,TRINITY_DN57889_c1_g1_i1,-,N,312,23.08,NA,TRINITY_DN57889_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN58529_c0_g2_i1,-,TRINITY_DN58529_c0_g2_i1,-,N,474,22.78,NA,TRINITY_DN58529_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN59996_c0_g2_i1,-,TRINITY_DN59996_c0_g2_i1,-,N,335,22.99,NA,TRINITY_DN59996_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN60031_c0_g1_i1,-,TRINITY_DN60031_c0_g1_i1,-,N,247,23.48,NA,TRINITY_DN60031_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN60466_c0_g1_i1,-,TRINITY_DN60466_c0_g1_i1,-,N,461,23.86,NA,TRINITY_DN60466_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN60938_c0_g2_i1,-,TRINITY_DN60938_c0_g2_i1,-,N,244,19.26,NA,TRINITY_DN60938_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN62044_c0_g3_i1,-,TRINITY_DN62044_c0_g3_i1,-,N,455,22.42,NA,TRINITY_DN62044_c0_g3_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN62107_c0_g1_i1,-,TRINITY_DN62107_c0_g1_i1,-,N,232,21.55,NA,TRINITY_DN62107_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN62335_c0_g1_i1,-,TRINITY_DN62335_c0_g1_i1,-,N,209,23.92,NA,TRINITY_DN62335_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN62652_c0_g1_i1,-,TRINITY_DN62652_c0_g1_i1,-,N,247,18.22,NA,TRINITY_DN62652_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN63064_c6_g1_i1,-,TRINITY_DN63064_c6_g1_i1,-,N,222,23.87,NA,TRINITY_DN63064_c6_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN63074_c0_g1_i1,-,TRINITY_DN63074_c0_g1_i1,-,N,218,20.64,NA,TRINITY_DN63074_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN64316_c0_g1_i1,-,TRINITY_DN64316_c0_g1_i1,-,N,214,23.36,NA,TRINITY_DN64316_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN64616_c0_g1_i1,-,TRINITY_DN64616_c0_g1_i1,-,N,228,22.37,NA,TRINITY_DN64616_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN65910_c0_g1_i1,-,TRINITY_DN65910_c0_g1_i1,-,N,235,23.4,NA,TRINITY_DN65910_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN66669_c0_g2_i1,-,TRINITY_DN66669_c0_g2_i1,-,N,228,21.05,NA,TRINITY_DN66669_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN67283_c0_g1_i1,-,TRINITY_DN67283_c0_g1_i1,-,N,391,23.02,NA,TRINITY_DN67283_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN67618_c0_g2_i1,-,TRINITY_DN67618_c0_g2_i1,-,N,261,23.37,NA,TRINITY_DN67618_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN68174_c0_g2_i1,-,TRINITY_DN68174_c0_g2_i1,-,N,293,23.55,NA,TRINITY_DN68174_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN68275_c0_g1_i1,-,TRINITY_DN68275_c0_g1_i1,-,N,313,23.64,NA,TRINITY_DN68275_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN68641_c0_g1_i1,-,TRINITY_DN68641_c0_g1_i1,-,N,243,23.87,NA,TRINITY_DN68641_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN69991_c0_g1_i1,-,TRINITY_DN69991_c0_g1_i1,-,N,373,22.52,NA,TRINITY_DN69991_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN70516_c0_g1_i1,-,TRINITY_DN70516_c0_g1_i1,-,N,305,23.93,NA,TRINITY_DN70516_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN70899_c0_g1_i1,-,TRINITY_DN70899_c0_g1_i1,-,N,239,23.43,NA,TRINITY_DN70899_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN71072_c0_g1_i1,-,TRINITY_DN71072_c0_g1_i1,-,N,219,23.74,NA,TRINITY_DN71072_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN71375_c0_g1_i1,-,TRINITY_DN71375_c0_g1_i1,-,N,280,23.57,NA,TRINITY_DN71375_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN71641_c0_g1_i1,-,TRINITY_DN71641_c0_g1_i1,-,N,250,20.8,NA,TRINITY_DN71641_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN71792_c0_g1_i1,-,TRINITY_DN71792_c0_g1_i1,-,N,337,23.74,NA,TRINITY_DN71792_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN71961_c0_g1_i1,-,TRINITY_DN71961_c0_g1_i1,-,N,456,21.49,NA,TRINITY_DN71961_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN72274_c0_g1_i1,-,TRINITY_DN72274_c0_g1_i1,-,N,391,23.02,NA,TRINITY_DN72274_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN72302_c1_g1_i1,-,TRINITY_DN72302_c1_g1_i1,-,N,204,22.55,NA,TRINITY_DN72302_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN72679_c0_g1_i1,-,TRINITY_DN72679_c0_g1_i1,-,N,331,22.96,NA,TRINITY_DN72679_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN73899_c0_g1_i1,-,TRINITY_DN73899_c0_g1_i1,-,N,221,23.53,NA,TRINITY_DN73899_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN75067_c0_g1_i1,-,TRINITY_DN75067_c0_g1_i1,-,N,232,21.12,NA,TRINITY_DN75067_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN75358_c0_g1_i1,-,TRINITY_DN75358_c0_g1_i1,-,N,342,23.1,NA,TRINITY_DN75358_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN75967_c0_g1_i1,-,TRINITY_DN75967_c0_g1_i1,-,N,234,23.5,NA,TRINITY_DN75967_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN76040_c0_g1_i1,-,TRINITY_DN76040_c0_g1_i1,-,N,264,21.97,NA,TRINITY_DN76040_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN77111_c0_g1_i1,-,TRINITY_DN77111_c0_g1_i1,-,N,202,21.29,NA,TRINITY_DN77111_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN78029_c0_g1_i1,-,TRINITY_DN78029_c0_g1_i1,-,N,345,22.9,NA,TRINITY_DN78029_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN81114_c0_g1_i1,-,TRINITY_DN81114_c0_g1_i1,-,N,209,22.01,NA,TRINITY_DN81114_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN82196_c0_g2_i1,-,TRINITY_DN82196_c0_g2_i1,-,N,245,22.86,NA,TRINITY_DN82196_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN82787_c1_g1_i1,-,TRINITY_DN82787_c1_g1_i1,-,N,211,23.7,NA,TRINITY_DN82787_c1_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN83110_c0_g1_i1,-,TRINITY_DN83110_c0_g1_i1,-,N,285,20.7,NA,TRINITY_DN83110_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN83885_c0_g1_i1,-,TRINITY_DN83885_c0_g1_i1,-,N,222,23.87,NA,TRINITY_DN83885_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN84003_c0_g1_i1,-,TRINITY_DN84003_c0_g1_i1,-,N,295,23.39,NA,TRINITY_DN84003_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN84309_c0_g1_i1,-,TRINITY_DN84309_c0_g1_i1,-,N,460,23.48,NA,TRINITY_DN84309_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN84398_c0_g2_i1,-,TRINITY_DN84398_c0_g2_i1,-,N,234,23.93,NA,TRINITY_DN84398_c0_g2_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN84907_c0_g1_i1,-,TRINITY_DN84907_c0_g1_i1,-,N,206,21.84,NA,TRINITY_DN84907_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN84992_c0_g1_i1,-,TRINITY_DN84992_c0_g1_i1,-,N,282,22.34,NA,TRINITY_DN84992_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN85059_c0_g1_i1,-,TRINITY_DN85059_c0_g1_i1,-,N,218,23.39,NA,TRINITY_DN85059_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN85274_c0_g1_i1,-,TRINITY_DN85274_c0_g1_i1,-,N,233,23.61,NA,TRINITY_DN85274_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN86171_c0_g1_i1,-,TRINITY_DN86171_c0_g1_i1,-,N,234,23.93,NA,TRINITY_DN86171_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN86216_c0_g1_i1,-,TRINITY_DN86216_c0_g1_i1,-,N,306,22.88,NA,TRINITY_DN86216_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN86276_c0_g1_i1,-,TRINITY_DN86276_c0_g1_i1,-,N,235,23.83,NA,TRINITY_DN86276_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN87432_c0_g1_i1,-,TRINITY_DN87432_c0_g1_i1,-,N,739,23.95,NA,TRINITY_DN87432_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN88885_c0_g1_i1,-,TRINITY_DN88885_c0_g1_i1,-,N,381,23.36,NA,TRINITY_DN88885_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN90260_c0_g1_i1,-,TRINITY_DN90260_c0_g1_i1,-,N,246,21.14,NA,TRINITY_DN90260_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN91885_c0_g1_i1,-,TRINITY_DN91885_c0_g1_i1,-,N,360,23.61,NA,TRINITY_DN91885_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN93523_c0_g1_i1,-,TRINITY_DN93523_c0_g1_i1,-,N,235,23.83,NA,TRINITY_DN93523_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN93677_c0_g1_i1,-,TRINITY_DN93677_c0_g1_i1,-,N,201,23.88,NA,TRINITY_DN93677_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN94585_c0_g1_i1,-,TRINITY_DN94585_c0_g1_i1,-,N,282,23.76,NA,TRINITY_DN94585_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN94731_c0_g1_i1,-,TRINITY_DN94731_c0_g1_i1,-,N,252,22.22,NA,TRINITY_DN94731_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN95010_c0_g1_i1,-,TRINITY_DN95010_c0_g1_i1,-,N,268,23.88,NA,TRINITY_DN95010_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN96104_c0_g1_i1,-,TRINITY_DN96104_c0_g1_i1,-,N,215,21.4,NA,TRINITY_DN96104_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN96049_c0_g1_i1,-,TRINITY_DN96049_c0_g1_i1,-,N,211,22.75,NA,TRINITY_DN96049_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN96989_c0_g1_i1,-,TRINITY_DN96989_c0_g1_i1,-,N,201,23.88,NA,TRINITY_DN96989_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN97076_c0_g1_i1,-,TRINITY_DN97076_c0_g1_i1,-,N,271,21.4,NA,TRINITY_DN97076_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN97721_c0_g1_i1,-,TRINITY_DN97721_c0_g1_i1,-,N,242,23.97,NA,TRINITY_DN97721_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN97807_c0_g1_i1,-,TRINITY_DN97807_c0_g1_i1,-,N,246,22.76,NA,TRINITY_DN97807_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN98177_c0_g1_i1,-,TRINITY_DN98177_c0_g1_i1,-,N,368,23.91,NA,TRINITY_DN98177_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN98504_c0_g1_i1,-,TRINITY_DN98504_c0_g1_i1,-,N,240,23.33,NA,TRINITY_DN98504_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN98855_c0_g1_i1,-,TRINITY_DN98855_c0_g1_i1,-,N,328,23.48,NA,TRINITY_DN98855_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN99410_c0_g1_i1,-,TRINITY_DN99410_c0_g1_i1,-,N,424,22.88,NA,TRINITY_DN99410_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN99727_c0_g1_i1,-,TRINITY_DN99727_c0_g1_i1,-,N,308,23.7,NA,TRINITY_DN99727_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN100107_c0_g1_i1,-,TRINITY_DN100107_c0_g1_i1,-,N,524,23.28,NA,TRINITY_DN100107_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN100124_c0_g1_i1,-,TRINITY_DN100124_c0_g1_i1,-,N,267,23.97,NA,TRINITY_DN100124_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN100252_c0_g1_i1,-,TRINITY_DN100252_c0_g1_i1,-,N,215,23.72,NA,TRINITY_DN100252_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN100782_c0_g1_i1,-,TRINITY_DN100782_c0_g1_i1,-,N,265,23.02,NA,TRINITY_DN100782_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN103522_c0_g1_i1,-,TRINITY_DN103522_c0_g1_i1,-,N,206,23.79,NA,TRINITY_DN103522_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN104145_c0_g1_i1,-,TRINITY_DN104145_c0_g1_i1,-,N,244,21.31,NA,TRINITY_DN104145_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN105282_c0_g1_i1,-,TRINITY_DN105282_c0_g1_i1,-,N,207,20.77,NA,TRINITY_DN105282_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN105482_c0_g1_i1,-,TRINITY_DN105482_c0_g1_i1,-,N,207,22.71,NA,TRINITY_DN105482_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN105710_c0_g1_i1,-,TRINITY_DN105710_c0_g1_i1,-,N,270,23.7,NA,TRINITY_DN105710_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN105974_c0_g1_i1,-,TRINITY_DN105974_c0_g1_i1,-,N,255,22.75,NA,TRINITY_DN105974_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN106096_c0_g1_i1,-,TRINITY_DN106096_c0_g1_i1,-,N,267,23.6,NA,TRINITY_DN106096_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN106736_c0_g1_i1,-,TRINITY_DN106736_c0_g1_i1,-,N,237,22.36,NA,TRINITY_DN106736_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN106974_c0_g1_i1,-,TRINITY_DN106974_c0_g1_i1,-,N,225,18.67,NA,TRINITY_DN106974_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN107526_c0_g1_i1,-,TRINITY_DN107526_c0_g1_i1,-,N,295,22.71,NA,TRINITY_DN107526_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN107872_c0_g1_i1,-,TRINITY_DN107872_c0_g1_i1,-,N,259,22.78,NA,TRINITY_DN107872_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108139_c0_g1_i1,-,TRINITY_DN108139_c0_g1_i1,-,N,230,23.48,NA,TRINITY_DN108139_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108394_c0_g1_i1,-,TRINITY_DN108394_c0_g1_i1,-,N,335,23.28,NA,TRINITY_DN108394_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108741_c0_g1_i1,-,TRINITY_DN108741_c0_g1_i1,-,N,394,23.6,NA,TRINITY_DN108741_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108711_c0_g1_i1,-,TRINITY_DN108711_c0_g1_i1,-,N,212,23.58,NA,TRINITY_DN108711_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108755_c0_g1_i1,-,TRINITY_DN108755_c0_g1_i1,-,N,217,23.04,NA,TRINITY_DN108755_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN108802_c0_g1_i1,-,TRINITY_DN108802_c0_g1_i1,-,N,238,23.95,NA,TRINITY_DN108802_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN109041_c0_g1_i1,-,TRINITY_DN109041_c0_g1_i1,-,N,219,22.37,NA,TRINITY_DN109041_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN110088_c0_g1_i1,-,TRINITY_DN110088_c0_g1_i1,-,N,235,23.4,NA,TRINITY_DN110088_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN110193_c0_g1_i1,-,TRINITY_DN110193_c0_g1_i1,-,N,338,23.37,NA,TRINITY_DN110193_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN110887_c0_g1_i1,-,TRINITY_DN110887_c0_g1_i1,-,N,224,23.66,NA,TRINITY_DN110887_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN112014_c0_g1_i1,-,TRINITY_DN112014_c0_g1_i1,-,N,306,21.9,NA,TRINITY_DN112014_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN112291_c0_g1_i1,-,TRINITY_DN112291_c0_g1_i1,-,N,421,23.99,NA,TRINITY_DN112291_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN112601_c0_g1_i1,-,TRINITY_DN112601_c0_g1_i1,-,N,245,23.27,NA,TRINITY_DN112601_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN112786_c0_g1_i1,-,TRINITY_DN112786_c0_g1_i1,-,N,409,23.23,NA,TRINITY_DN112786_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN113779_c0_g1_i1,-,TRINITY_DN113779_c0_g1_i1,-,N,226,23.45,NA,TRINITY_DN113779_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN113888_c0_g1_i1,-,TRINITY_DN113888_c0_g1_i1,-,N,238,22.27,NA,TRINITY_DN113888_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114012_c0_g1_i1,-,TRINITY_DN114012_c0_g1_i1,-,N,203,23.15,NA,TRINITY_DN114012_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114593_c0_g1_i1,-,TRINITY_DN114593_c0_g1_i1,-,N,254,23.23,NA,TRINITY_DN114593_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114675_c0_g1_i1,-,TRINITY_DN114675_c0_g1_i1,-,N,292,23.97,NA,TRINITY_DN114675_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114727_c0_g1_i1,-,TRINITY_DN114727_c0_g1_i1,-,N,261,22.99,NA,TRINITY_DN114727_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114762_c0_g1_i1,-,TRINITY_DN114762_c0_g1_i1,-,N,204,23.53,NA,TRINITY_DN114762_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN114887_c0_g1_i1,-,TRINITY_DN114887_c0_g1_i1,-,N,234,21.79,NA,TRINITY_DN114887_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN115106_c0_g1_i1,-,TRINITY_DN115106_c0_g1_i1,-,N,213,21.6,NA,TRINITY_DN115106_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN115627_c0_g1_i1,-,TRINITY_DN115627_c0_g1_i1,-,N,205,23.41,NA,TRINITY_DN115627_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN115762_c0_g1_i1,-,TRINITY_DN115762_c0_g1_i1,-,N,221,23.08,NA,TRINITY_DN115762_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN116443_c0_g1_i1,-,TRINITY_DN116443_c0_g1_i1,-,N,234,23.5,NA,TRINITY_DN116443_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN116836_c0_g1_i1,-,TRINITY_DN116836_c0_g1_i1,-,N,281,23.84,NA,TRINITY_DN116836_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN116752_c0_g1_i1,-,TRINITY_DN116752_c0_g1_i1,-,N,246,23.58,NA,TRINITY_DN116752_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN117331_c0_g1_i1,-,TRINITY_DN117331_c0_g1_i1,-,N,229,22.27,NA,TRINITY_DN117331_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN117855_c0_g1_i1,-,TRINITY_DN117855_c0_g1_i1,-,N,211,22.75,NA,TRINITY_DN117855_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN117899_c0_g1_i1,-,TRINITY_DN117899_c0_g1_i1,-,N,230,21.3,NA,TRINITY_DN117899_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN118288_c0_g1_i1,-,TRINITY_DN118288_c0_g1_i1,-,N,289,21.45,NA,TRINITY_DN118288_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN118414_c0_g1_i1,-,TRINITY_DN118414_c0_g1_i1,-,N,338,23.67,NA,TRINITY_DN118414_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN118818_c0_g1_i1,-,TRINITY_DN118818_c0_g1_i1,-,N,227,22.03,NA,TRINITY_DN118818_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN118789_c0_g1_i1,-,TRINITY_DN118789_c0_g1_i1,-,N,213,22.54,NA,TRINITY_DN118789_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN118987_c0_g1_i1,-,TRINITY_DN118987_c0_g1_i1,-,N,203,23.15,NA,TRINITY_DN118987_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN119260_c0_g1_i1,-,TRINITY_DN119260_c0_g1_i1,-,N,207,22.71,NA,TRINITY_DN119260_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN119415_c0_g1_i1,-,TRINITY_DN119415_c0_g1_i1,-,N,248,23.39,NA,TRINITY_DN119415_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN119735_c0_g1_i1,-,TRINITY_DN119735_c0_g1_i1,-,N,208,23.56,NA,TRINITY_DN119735_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN119767_c0_g1_i1,-,TRINITY_DN119767_c0_g1_i1,-,N,214,21.96,NA,TRINITY_DN119767_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN120634_c0_g1_i1,-,TRINITY_DN120634_c0_g1_i1,-,N,213,22.07,NA,TRINITY_DN120634_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN122076_c0_g1_i1,-,TRINITY_DN122076_c0_g1_i1,-,N,249,22.09,NA,TRINITY_DN122076_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN122305_c0_g1_i1,-,TRINITY_DN122305_c0_g1_i1,-,N,700,23.43,NA,TRINITY_DN122305_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN123505_c0_g1_i1,-,TRINITY_DN123505_c0_g1_i1,-,N,208,22.6,NA,TRINITY_DN123505_c0_g1_i1
fasta::trinity_out.Trinity.fasta:TRINITY_DN124103_c0_g1_i1,-,TRINITY_DN124103_c0_g1_i1,-,N,255,23.14,NA,TRINITY_DN124103_c0_g1_i1
